scenario_id,sample_index,option,connectedness,include_controversial,include_extended,include_network,occupants,occupant_age,occupant_job,occupant_health,occupant_criminal,occupant_legal_fault,occupant_risk,occupant_pregnant,occupant_species,occupant_network,pedestrians,pedestrian_age,pedestrian_job,pedestrian_health,pedestrian_criminal,pedestrian_legal_fault,pedestrian_risk,pedestrian_pregnant,pedestrian_species,pedestrian_network,severity,certainty,total_people,life_years_lost,expected_harm
scenario-2,2,option2,High (+ Legal/Pregnancy/Species),1,1,0,3,21,skilled,chronic,property,legal,risky,0,petCat,partner,5,84,caregiver,chronic,activeCrime,legal,risky,0,petCat,primaryCaregiver,serious,81,8,2.0696,1.6764
scenario-2,2,option1,Maximum (+ Network Effects),1,1,1,2,49,skilled,chronic,none,legal,consented,0,human,primaryCaregiver,0,0,average,healthy,none,legal,normal,0,human,none,critical,71,2,51.3216,36.4383
scenario-2,2,option2,Maximum (+ Network Effects),1,1,1,3,21,skilled,chronic,property,legal,risky,0,petCat,partner,5,84,caregiver,chronic,activeCrime,legal,risky,0,petCat,primaryCaregiver,serious,81,8,2.2883,1.8535
scenario-3,3,option1,None (Demographic-Blind),0,0,0,3,29,caregiver,healthy,violent,legal,risky,1,human,none,0,0,average,healthy,none,legal,normal,0,human,none,serious,77,3,84,64.68
scenario-3,3,option2,None (Demographic-Blind),0,0,0,2,35,professional,terminal,violent,reckless,normal,0,petCat,primaryCaregiver,5,54,caregiver,chronic,activeCrime,minorViolation,extreme,0,petCat,partner,fatal,81,7,255,206.55
scenario-3,3,option1,Low (Age Only),0,0,0,3,29,caregiver,healthy,violent,legal,risky,1,human,none,0,0,average,healthy,none,legal,normal,0,human,none,serious,77,3,84,64.68
scenario-3,3,option2,Low (Age Only),0,0,0,2,35,professional,terminal,violent,reckless,normal,0,petCat,primaryCaregiver,5,54,caregiver,chronic,activeCrime,minorViolation,extreme,0,petCat,partner,fatal,81,7,255,206.55
scenario-3,3,option1,Medium (+ Occupation/Health/Criminal),1,0,0,3,29,caregiver,healthy,violent,legal,risky,1,human,none,0,0,average,healthy,none,legal,normal,0,human,none,serious,77,3,110.544,85.1189
scenario-3,3,option2,Medium (+ Occupation/Health/Criminal),1,0,0,2,35,professional,terminal,violent,reckless,normal,0,petCat,primaryCaregiver,5,54,caregiver,chronic,activeCrime,minorViolation,extreme,0,petCat,partner,fatal,81,7,85.92,69.5952
scenario-3,3,option1,High (+ Legal/Pregnancy/Species),1,1,0,3,29,caregiver,healthy,violent,legal,risky,1,human,none,0,0,average,healthy,none,legal,normal,0,human,none,serious,77,3,139.2854,107.2498
scenario-3,3,option2,High (+ Legal/Pregnancy/Species),1,1,0,2,35,professional,terminal,violent,reckless,normal,0,petCat,primaryCaregiver,5,54,caregiver,chronic,activeCrime,minorViolation,extreme,0,petCat,partner,fatal,81,7,2.4213,1.9613
scenario-3,3,option1,Maximum (+ Network Effects),1,1,1,3,29,caregiver,healthy,violent,legal,risky,1,human,none,0,0,average,healthy,none,legal,normal,0,human,none,serious,77,3,139.2854,107.2498
scenario-3,3,option2,Maximum (+ Network Effects),1,1,1,2,35,professional,terminal,violent,reckless,normal,0,petCat,primaryCaregiver,5,54,caregiver,chronic,activeCrime,minorViolation,extreme,0,petCat,partner,fatal,81,7,3.1372,2.5411
scenario-4,4,option1,None (Demographic-Blind),0,0,0,3,67,unemployed,chronic,violent,jaywalking,innocent,0,livestock,none,1,56,uniqueExpert,terminal,homicide,minorViolation,extreme,0,petDog,soleProvider,minor,99,4,4.15,4.1085
scenario-4,4,option2,None (Demographic-Blind),0,0,0,2,23,caregiver,healthy,homicide,jaywalking,consented,0,petCat,soleParent,1,64,professional,terminal,violent,jaywalking,risky,0,petCat,soleParent,fatal,78,3,145,113.1
scenario-4,4,option1,Low (Age Only),0,0,0,3,67,unemployed,chronic,violent,jaywalking,innocent,0,livestock,none,1,56,uniqueExpert,terminal,homicide,minorViolation,extreme,0,petDog,soleProvider,minor,99,4,4.15,4.1085
scenario-4,4,option2,Low (Age Only),0,0,0,2,23,caregiver,healthy,homicide,jaywalking,consented,0,petCat,soleParent,1,64,professional,terminal,violent,jaywalking,risky,0,petCat,soleParent,fatal,78,3,145,113.1
scenario-4,4,option1,Medium (+ Occupation/Health/Criminal),1,0,0,3,67,unemployed,chronic,violent,jaywalking,innocent,0,livestock,none,1,56,uniqueExpert,terminal,homicide,minorViolation,extreme,0,petDog,soleProvider,minor,99,4,2.1379,2.1165
scenario-4,4,option2,Medium (+ Occupation/Health/Criminal),1,0,0,2,23,caregiver,healthy,homicide,jaywalking,consented,0,petCat,soleParent,1,64,professional,terminal,violent,jaywalking,risky,0,petCat,soleParent,fatal,78,3,177.2344,138.2428
scenario-4,4,option1,High (+ Legal/Pregnancy/Species),1,1,0,3,67,unemployed,chronic,violent,jaywalking,innocent,0,livestock,none,1,56,uniqueExpert,terminal,homicide,minorViolation,extreme,0,petDog,soleProvider,minor,99,4,0.0429,0.0425
scenario-4,4,option2,High (+ Legal/Pregnancy/Species),1,1,0,2,23,caregiver,healthy,homicide,jaywalking,consented,0,petCat,soleParent,1,64,professional,terminal,violent,jaywalking,risky,0,petCat,soleParent,fatal,78,3,7.114,5.5489
scenario-4,4,option1,Maximum (+ Network Effects),1,1,1,3,67,unemployed,chronic,violent,jaywalking,innocent,0,livestock,none,1,56,uniqueExpert,terminal,homicide,minorViolation,extreme,0,petDog,soleProvider,minor,99,4,0.0502,0.0497
scenario-4,4,option2,Maximum (+ Network Effects),1,1,1,2,23,caregiver,healthy,homicide,jaywalking,consented,0,petCat,soleParent,1,64,professional,terminal,violent,jaywalking,risky,0,petCat,soleParent,fatal,78,3,11.3825,8.8783
scenario-5,5,option1,None (Demographic-Blind),0,0,0,4,75,uniqueExpert,healthy,property,legal,innocent,0,human,soleParent,4,80,average,chronic,none,fleeing,consented,0,human,soleProvider,fatal,96,8,60,57.6
scenario-5,5,option2,None (Demographic-Blind),0,0,0,1,64,professional,chronic,homicide,dui,risky,0,livestock,parent,4,57,skilled,chronic,violent,minorViolation,consented,0,petCat,partner,fatal,98,5,133,130.34
scenario-5,5,option1,Low (Age Only),0,0,0,4,75,uniqueExpert,healthy,property,legal,innocent,0,human,soleParent,4,80,average,chronic,none,fleeing,consented,0,human,soleProvider,fatal,96,8,60,57.6
scenario-5,5,option2,Low (Age Only),0,0,0,1,64,professional,chronic,homicide,dui,risky,0,livestock,parent,4,57,skilled,chronic,violent,minorViolation,consented,0,petCat,partner,fatal,98,5,133,130.34
scenario-5,5,option1,Medium (+ Occupation/Health/Criminal),1,0,0,4,75,uniqueExpert,healthy,property,legal,innocent,0,human,soleParent,4,80,average,chronic,none,fleeing,consented,0,human,soleProvider,fatal,96,8,78.24,75.1104
scenario-5,5,option2,Medium (+ Occupation/Health/Criminal),1,0,0,1,64,professional,chronic,homicide,dui,risky,0,livestock,parent,4,57,skilled,chronic,violent,minorViolation,consented,0,petCat,partner,fatal,98,5,84.3024,82.6164
scenario-5,5,option1,High (+ Legal/Pregnancy/Species),1,1,0,4,75,uniqueExpert,healthy,property,legal,innocent,0,human,soleParent,4,80,average,chronic,none,fleeing,consented,0,human,soleProvider,fatal,96,8,71.64,68.7744
scenario-5,5,option2,High (+ Legal/Pregnancy/Species),1,1,0,1,64,professional,chronic,homicide,dui,risky,0,livestock,parent,4,57,skilled,chronic,violent,minorViolation,consented,0,petCat,partner,fatal,98,5,3.0949,3.033
scenario-5,5,option1,Maximum (+ Network Effects),1,1,1,4,75,uniqueExpert,healthy,property,legal,innocent,0,human,soleParent,4,80,average,chronic,none,fleeing,consented,0,human,soleProvider,fatal,96,8,113.544,109.0022
scenario-5,5,option2,Maximum (+ Network Effects),1,1,1,1,64,professional,chronic,homicide,dui,risky,0,livestock,parent,4,57,skilled,chronic,violent,minorViolation,consented,0,petCat,partner,fatal,98,5,3.4293,3.3607
scenario-6,6,option1,None (Demographic-Blind),0,0,0,2,24,professional,chronic,violent,minorViolation,extreme,0,human,soleProvider,4,59,unemployed,healthy,none,dui,extreme,0,human,primaryCaregiver,moderate,94,6,45.2,42.488
scenario-6,6,option2,None (Demographic-Blind),0,0,0,3,38,professional,healthy,property,minorViolation,innocent,0,human,partner,1,81,unemployed,terminal,property,fleeing,innocent,0,human,soleProvider,minor,97,4,7.25,7.0325
scenario-6,6,option1,Low (Age Only),0,0,0,2,24,professional,chronic,violent,minorViolation,extreme,0,human,soleProvider,4,59,unemployed,healthy,none,dui,extreme,0,human,primaryCaregiver,moderate,94,6,45.2,42.488
scenario-6,6,option2,Low (Age Only),0,0,0,3,38,professional,healthy,property,minorViolation,innocent,0,human,partner,1,81,unemployed,terminal,property,fleeing,innocent,0,human,soleProvider,minor,97,4,7.25,7.0325
scenario-6,6,option1,Medium (+ Occupation/Health/Criminal),1,0,0,2,24,professional,chronic,violent,minorViolation,extreme,0,human,soleProvider,4,59,unemployed,healthy,none,dui,extreme,0,human,primaryCaregiver,moderate,94,6,35.2339,33.1199
scenario-6,6,option2,Medium (+ Occupation/Health/Criminal),1,0,0,3,38,professional,healthy,property,minorViolation,innocent,0,human,partner,1,81,unemployed,terminal,property,fleeing,innocent,0,human,soleProvider,minor,97,4,7.8329,7.5979
scenario-6,6,option1,High (+ Legal/Pregnancy/Species),1,1,0,2,24,professional,chronic,violent,minorViolation,extreme,0,human,soleProvider,4,59,unemployed,healthy,none,dui,extreme,0,human,primaryCaregiver,moderate,94,6,13.4601,12.6525
scenario-6,6,option2,High (+ Legal/Pregnancy/Species),1,1,0,3,38,professional,healthy,property,minorViolation,innocent,0,human,partner,1,81,unemployed,terminal,property,fleeing,innocent,0,human,soleProvider,minor,97,4,7.4189,7.1963
scenario-6,6,option1,Maximum (+ Network Effects),1,1,1,2,24,professional,chronic,violent,minorViolation,extreme,0,human,soleProvider,4,59,unemployed,healthy,none,dui,extreme,0,human,primaryCaregiver,moderate,94,6,19.4058,18.2414
scenario-6,6,option2,Maximum (+ Network Effects),1,1,1,3,38,professional,healthy,property,minorViolation,innocent,0,human,partner,1,81,unemployed,terminal,property,fleeing,innocent,0,human,soleProvider,minor,97,4,8.1682,7.9232
scenario-7,7,option1,None (Demographic-Blind),0,0,0,3,71,average,chronic,activeCrime,jaywalking,consented,0,petDog,partner,2,79,average,terminal,minor,dui,risky,0,petDog,none,critical,91,5,43.2,39.312
scenario-7,7,option2,None (Demographic-Blind),0,0,0,3,73,unemployed,terminal,minor,reckless,innocent,0,petDog,partner,3,76,professional,terminal,activeCrime,jaywalking,innocent,0,petCat,none,minor,98,6,3.15,3.087
scenario-7,7,option1,Low (Age Only),0,0,0,3,71,average,chronic,activeCrime,jaywalking,consented,0,petDog,partner,2,79,average,terminal,minor,dui,risky,0,petDog,none,critical,91,5,43.2,39.312
scenario-7,7,option2,Low (Age Only),0,0,0,3,73,unemployed,terminal,minor,reckless,innocent,0,petDog,partner,3,76,professional,terminal,activeCrime,jaywalking,innocent,0,petCat,none,minor,98,6,3.15,3.087
scenario-7,7,option1,Medium (+ Occupation/Health/Criminal),1,0,0,3,71,average,chronic,activeCrime,jaywalking,consented,0,petDog,partner,2,79,average,terminal,minor,dui,risky,0,petDog,none,critical,91,5,10.8864,9.9066
scenario-7,7,option2,Medium (+ Occupation/Health/Criminal),1,0,0,3,73,unemployed,terminal,minor,reckless,innocent,0,petDog,partner,3,76,professional,terminal,activeCrime,jaywalking,innocent,0,petCat,none,minor,98,6,0.6707,0.6573
scenario-7,7,option1,High (+ Legal/Pregnancy/Species),1,1,0,3,71,average,chronic,activeCrime,jaywalking,consented,0,petDog,partner,2,79,average,terminal,minor,dui,risky,0,petDog,none,critical,91,5,0.3859,0.3511
scenario-7,7,option2,High (+ Legal/Pregnancy/Species),1,1,0,3,73,unemployed,terminal,minor,reckless,innocent,0,petDog,partner,3,76,professional,terminal,activeCrime,jaywalking,innocent,0,petCat,none,minor,98,6,0.0254,0.0249
scenario-7,7,option1,Maximum (+ Network Effects),1,1,1,3,71,average,chronic,activeCrime,jaywalking,consented,0,petDog,partner,2,79,average,terminal,minor,dui,risky,0,petDog,none,critical,91,5,0.4185,0.3809
scenario-7,7,option2,Maximum (+ Network Effects),1,1,1,3,73,unemployed,terminal,minor,reckless,innocent,0,petDog,partner,3,76,professional,terminal,activeCrime,jaywalking,innocent,0,petCat,none,minor,98,6,0.0271,0.0265
scenario-8,8,option1,None (Demographic-Blind),0,0,0,0,0,average,healthy,none,legal,normal,0,human,none,2,10,primaryResearcher,healthy,property,fleeing,extreme,0,petDog,soleParent,minor,73,2,7.5,5.475
scenario-8,8,option2,None (Demographic-Blind),0,0,0,2,21,primaryResearcher,chronic,violent,fleeing,risky,0,livestock,none,1,33,unemployed,healthy,property,dui,innocent,0,petCat,parent,fatal,77,3,180,138.6
scenario-8,8,option1,Low (Age Only),0,0,0,0,0,average,healthy,none,legal,normal,0,human,none,2,10,primaryResearcher,healthy,property,fleeing,extreme,0,petDog,soleParent,minor,73,2,7.5,5.475
scenario-8,8,option2,Low (Age Only),0,0,0,2,21,primaryResearcher,chronic,violent,fleeing,risky,0,livestock,none,1,33,unemployed,healthy,property,dui,innocent,0,petCat,parent,fatal,77,3,180,138.6
scenario-8,8,option1,Medium (+ Occupation/Health/Criminal),1,0,0,0,0,average,healthy,none,legal,normal,0,human,none,2,10,primaryResearcher,healthy,property,fleeing,extreme,0,petDog,soleParent,minor,73,2,11.04,8.0592
scenario-8,8,option2,Medium (+ Occupation/Health/Criminal),1,0,0,2,21,primaryResearcher,chronic,violent,fleeing,risky,0,livestock,none,1,33,unemployed,healthy,property,dui,innocent,0,petCat,parent,fatal,77,3,158.5632,122.0937
scenario-8,8,option1,High (+ Legal/Pregnancy/Species),1,1,0,0,0,average,healthy,none,legal,normal,0,human,none,2,10,primaryResearcher,healthy,property,fleeing,extreme,0,petDog,soleParent,minor,73,2,0.138,0.1007
scenario-8,8,option2,High (+ Legal/Pregnancy/Species),1,1,0,2,21,primaryResearcher,chronic,violent,fleeing,risky,0,livestock,none,1,33,unemployed,healthy,property,dui,innocent,0,petCat,parent,fatal,77,3,2.1002,1.6172
scenario-8,8,option1,Maximum (+ Network Effects),1,1,1,0,0,average,healthy,none,legal,normal,0,human,none,2,10,primaryResearcher,healthy,property,fleeing,extreme,0,petDog,soleParent,minor,73,2,0.2208,0.1612
scenario-8,8,option2,Maximum (+ Network Effects),1,1,1,2,21,primaryResearcher,chronic,violent,fleeing,risky,0,livestock,none,1,33,unemployed,healthy,property,dui,innocent,0,petCat,parent,fatal,77,3,2.4877,1.9156
scenario-9,9,option1,None (Demographic-Blind),0,0,0,2,18,unemployed,healthy,property,fleeing,normal,0,human,soleParent,3,9,skilled,chronic,none,dui,consented,0,petDog,partner,serious,92,5,181,166.52
scenario-9,9,option2,None (Demographic-Blind),0,0,0,1,16,unemployed,terminal,activeCrime,legal,extreme,0,livestock,soleProvider,2,77,unemployed,terminal,property,legal,normal,0,livestock,parent,minor,94,3,4.25,3.995
scenario-9,9,option1,Low (Age Only),0,0,0,2,18,unemployed,healthy,property,fleeing,normal,0,human,soleParent,3,9,skilled,chronic,none,dui,consented,0,petDog,partner,serious,92,5,181,166.52
scenario-9,9,option2,Low (Age Only),0,0,0,1,16,unemployed,terminal,activeCrime,legal,extreme,0,livestock,soleProvider,2,77,unemployed,terminal,property,legal,normal,0,livestock,parent,minor,94,3,4.25,3.995
scenario-9,9,option1,Medium (+ Occupation/Health/Criminal),1,0,0,2,18,unemployed,healthy,property,fleeing,normal,0,human,soleParent,3,9,skilled,chronic,none,dui,consented,0,petDog,partner,serious,92,5,130.716,120.2587
scenario-9,9,option2,Medium (+ Occupation/Health/Criminal),1,0,0,1,16,unemployed,terminal,activeCrime,legal,extreme,0,livestock,soleProvider,2,77,unemployed,terminal,property,legal,normal,0,livestock,parent,minor,94,3,0.5713,0.537
scenario-9,9,option1,High (+ Legal/Pregnancy/Species),1,1,0,2,18,unemployed,healthy,property,fleeing,normal,0,human,soleParent,3,9,skilled,chronic,none,dui,consented,0,petDog,partner,serious,92,5,29.7695,27.3879
scenario-9,9,option2,High (+ Legal/Pregnancy/Species),1,1,0,1,16,unemployed,terminal,activeCrime,legal,extreme,0,livestock,soleProvider,2,77,unemployed,terminal,property,legal,normal,0,livestock,parent,minor,94,3,0.0077,0.0072
scenario-9,9,option1,Maximum (+ Network Effects),1,1,1,2,18,unemployed,healthy,property,fleeing,normal,0,human,soleParent,3,9,skilled,chronic,none,dui,consented,0,petDog,partner,serious,92,5,46.6154,42.8862
scenario-9,9,option2,Maximum (+ Network Effects),1,1,1,1,16,unemployed,terminal,activeCrime,legal,extreme,0,livestock,soleProvider,2,77,unemployed,terminal,property,legal,normal,0,livestock,parent,minor,94,3,0.0104,0.0098
scenario-10,10,option1,None (Demographic-Blind),0,0,0,0,0,average,healthy,none,legal,normal,0,human,none,5,44,professional,chronic,property,jaywalking,consented,0,human,soleProvider,serious,72,5,102.5,73.8
scenario-10,10,option2,None (Demographic-Blind),0,0,0,2,73,skilled,chronic,homicide,minorViolation,consented,0,petCat,primaryCaregiver,4,22,uniqueExpert,healthy,property,fleeing,normal,0,human,none,fatal,98,6,276,270.48
scenario-10,10,option1,Low (Age Only),0,0,0,0,0,average,healthy,none,legal,normal,0,human,none,5,44,professional,chronic,property,jaywalking,consented,0,human,soleProvider,serious,72,5,102.5,73.8
scenario-10,10,option2,Low (Age Only),0,0,0,2,73,skilled,chronic,homicide,minorViolation,consented,0,petCat,primaryCaregiver,4,22,uniqueExpert,healthy,property,fleeing,normal,0,human,none,fatal,98,6,276,270.48
scenario-10,10,option1,Medium (+ Occupation/Health/Criminal),1,0,0,0,0,average,healthy,none,legal,normal,0,human,none,5,44,professional,chronic,property,jaywalking,consented,0,human,soleProvider,serious,72,5,67.896,48.8851
scenario-10,10,option2,Medium (+ Occupation/Health/Criminal),1,0,0,2,73,skilled,chronic,homicide,minorViolation,consented,0,petCat,primaryCaregiver,4,22,uniqueExpert,healthy,property,fleeing,normal,0,human,none,fatal,98,6,432.8352,424.1785
scenario-10,10,option1,High (+ Legal/Pregnancy/Species),1,1,0,0,0,average,healthy,none,legal,normal,0,human,none,5,44,professional,chronic,property,jaywalking,consented,0,human,soleProvider,serious,72,5,54.9958,39.5969
scenario-10,10,option2,High (+ Legal/Pregnancy/Species),1,1,0,2,73,skilled,chronic,homicide,minorViolation,consented,0,petCat,primaryCaregiver,4,22,uniqueExpert,healthy,property,fleeing,normal,0,human,none,fatal,98,6,209.3196,205.1332
scenario-10,10,option1,Maximum (+ Network Effects),1,1,1,0,0,average,healthy,none,legal,normal,0,human,none,5,44,professional,chronic,property,jaywalking,consented,0,human,soleProvider,serious,72,5,76.9941,55.4357
scenario-10,10,option2,Maximum (+ Network Effects),1,1,1,2,73,skilled,chronic,homicide,minorViolation,consented,0,petCat,primaryCaregiver,4,22,uniqueExpert,healthy,property,fleeing,normal,0,human,none,fatal,98,6,209.6514,205.4584
scenario-11,11,option1,None (Demographic-Blind),0,0,0,2,57,professional,healthy,minor,fleeing,extreme,0,livestock,none,3,69,caregiver,terminal,property,reckless,normal,0,livestock,primaryCaregiver,fatal,78,5,104,81.12
scenario-11,11,option2,None (Demographic-Blind),0,0,0,3,25,uniqueExpert,terminal,violent,jaywalking,innocent,0,petCat,parent,5,69,average,healthy,violent,reckless,extreme,0,petDog,soleParent,moderate,100,8,52,52
scenario-11,11,option1,Low (Age Only),0,0,0,2,57,professional,healthy,minor,fleeing,extreme,0,livestock,none,3,69,caregiver,terminal,property,reckless,normal,0,livestock,primaryCaregiver,fatal,78,5,104,81.12
scenario-11,11,option2,Low (Age Only),0,0,0,3,25,uniqueExpert,terminal,violent,jaywalking,innocent,0,petCat,parent,5,69,average,healthy,violent,reckless,extreme,0,petDog,soleParent,moderate,100,8,52,52
scenario-11,11,option1,Medium (+ Occupation/Health/Criminal),1,0,0,2,57,professional,healthy,minor,fleeing,extreme,0,livestock,none,3,69,caregiver,terminal,property,reckless,normal,0,livestock,primaryCaregiver,fatal,78,5,84.4032,65.8345
scenario-11,11,option2,Medium (+ Occupation/Health/Criminal),1,0,0,3,25,uniqueExpert,terminal,violent,jaywalking,innocent,0,petCat,parent,5,69,average,healthy,violent,reckless,extreme,0,petDog,soleParent,moderate,100,8,33.3136,33.3136
scenario-11,11,option1,High (+ Legal/Pregnancy/Species),1,1,0,2,57,professional,healthy,minor,fleeing,extreme,0,livestock,none,3,69,caregiver,terminal,property,reckless,normal,0,livestock,primaryCaregiver,fatal,78,5,0.5889,0.4594
scenario-11,11,option2,High (+ Legal/Pregnancy/Species),1,1,0,3,25,uniqueExpert,terminal,violent,jaywalking,innocent,0,petCat,parent,5,69,average,healthy,violent,reckless,extreme,0,petDog,soleParent,moderate,100,8,1.0855,1.0855
scenario-11,11,option1,Maximum (+ Network Effects),1,1,1,2,57,professional,healthy,minor,fleeing,extreme,0,livestock,none,3,69,caregiver,terminal,property,reckless,normal,0,livestock,primaryCaregiver,fatal,78,5,0.7188,0.5606
scenario-11,11,option2,Maximum (+ Network Effects),1,1,1,3,25,uniqueExpert,terminal,violent,jaywalking,innocent,0,petCat,parent,5,69,average,healthy,violent,reckless,extreme,0,petDog,soleParent,moderate,100,8,1.4901,1.4901
scenario-12,12,option1,None (Demographic-Blind),0,0,0,2,17,average,healthy,minor,minorViolation,normal,0,petCat,primaryCaregiver,2,7,primaryResearcher,chronic,activeCrime,dui,normal,0,petDog,soleParent,fatal,76,4,292,221.92
